0,5;1,49472;1,99533
0,55;1,60483;2,5125
0,6;1,74057;3,21018
0,65;1,91836;4,21458
0,7;2,1549;5,75526
0,75;2,4824;8,2056
0,8;2,97813;12,6995
0,85;3,79183;22,3495
0,9;5,49106;50,7786
0,95;10,4403;200,732
0,5;1,4932;1,99369;
0,5;1,49599;1,99842;
0,5;1,49435;1,99503;
0,5;1,48888;1,99087;
0,75;2,46662;8,17482;
0,975;21,846;1020,86;
0,5;1,36;1,89;
0,5;1,4;1,65;
0,5;1,1;1,45;
0,5;1,49666;2,00014;
0,5;1,48;1,92;
0,5;1,74;2,25;
0,5;1,26;1,62;
0,5;1,52;2,11;
0,95;3,64211;22,57;
0,95;4,90526;34,78;
0,95;5,28421;29,82;
0,95;3,65263;31,13;
0,95;5,01053;40,25;
0,95;10,6125;182,879;
0,95;10,3474;199,785;
0,5;1,4;1,58;
0,5;1,4;1,58;
0,5;2,8;3,51;
0,5;3,28;4,22;
